name,birthday,phones
Ivan - 59,17.04.1950,0638501099|0671234567
Ivan - 60,10.07.1948,0638501099|0671234567
Ivan - 61,11.04.1974,0638501099|0671234567
Ivan - 62,23.01.1950,0638501099|0671234567
Ivan - 63,03.09.1964,0638501099|0671234567
Ivan - 64,02.09.1977,0638501099|0671234567
Ivan - 65,26.07.1961,0638501099|0671234567
Ivan - 66,01.06.1951,0638501099|0671234567
Ivan - 67,08.08.1954,0638501099|0671234567
Ivan - 68,08.02.1945,0638501099|0671234567
Ivan - 69,26.10.1959,0638501099|0671234567
Ivan - 70,20.05.1976,0638501099|0671234567
Ivan - 71,15.06.1917,0638501099|0671234567
Ivan - 72,05.03.1934,0638501099|0671234567
Ivan - 73,19.08.1920,0638501099|0671234567
Ivan - 74,28.03.1937,0638501099|0671234567
Ivan - 75,24.05.1995,0638501099|0671234567
Ivan - 76,01.12.1974,0638501099|0671234567
Ivan - 77,20.03.1986,0638501099|0671234567
Ivan - 78,23.05.1923,0638501099|0671234567
Ivan - 79,19.11.1976,0638501099|0671234567
Ivan - 80,16.08.1975,0638501099|0671234567
Ivan - 81,27.05.1911,0638501099|0671234567
Ivan - 82,07.12.1966,0638501099|0671234567
Ivan - 83,23.08.1967,0638501099|0671234567
Ivan - 84,13.11.1980,0638501099|0671234567
Ivan - 85,10.02.1970,0638501099|0671234567
Ivan - 86,15.09.1958,0638501099|0671234567
Ivan - 87,02.02.1931,0638501099|0671234567
Ivan - 88,09.01.1919,0638501099|0671234567
Ivan - 89,14.08.1998,0638501099|0671234567
Ivan - 90,19.10.1986,0638501099|0671234567
Ivan - 91,20.07.1975,0638501099|0671234567
Ivan - 92,07.08.1936,0638501099|0671234567
Ivan - 93,13.06.1970,0638501099|0671234567
Ivan - 94,11.03.1959,0638501099|0671234567
Ivan - 95,24.12.1954,0638501099|0671234567
Ivan - 96,25.06.1991,0638501099|0671234567
Ivan - 97,09.06.1991,0638501099|0671234567
Ivan - 98,21.04.1985,0638501099|0671234567
Ivan - 99,18.05.1995,0638501099|0671234567
Ivan - 100,04.04.1955,0638501099|0671234567
Ivan - 101,25.01.1930,0638501099|0671234567
Ivan - 102,23.03.1992,0638501099|0671234567
Ivan - 103,04.07.1945,0638501099|0671234567
Ivan - 104,01.07.1987,0638501099|0671234567
Ivan - 105,13.04.1975,0638501099|0671234567
Ivan - 106,06.06.1918,0638501099|0671234567
Ivan - 107,05.07.1954,0638501099|0671234567
Ivan - 108,14.04.1915,0638501099|0671234567
Ivan - 109,21.07.1935,0638501099|0671234567
Ivan - 110,07.08.1970,0638501099|0671234567
Ivan - 111,10.09.1953,0638501099|0671234567
Ivan - 112,01.02.1993,0638501099|0671234567
Ivan - 113,25.01.1967,0638501099|0671234567
Ivan - 114,19.11.1971,0638501099|0671234567
Ivan - 115,26.09.1917,0638501099|0671234567
Ivan - 116,09.08.1999,0638501099|0671234567
Ivan - 117,11.08.1978,0638501099|0671234567
Ivan - 118,22.11.1939,0638501099|0671234567
Ivan - 119,22.04.1955,0638501099|0671234567
Alex - 0,02.03.1922,0638501099|0671234567
Alex - 1,03.02.1920,0638501099|0671234567
Alex - 2,18.12.1943,0638501099|0671234567
Alex - 3,26.12.1999,0638501099|0671234567
Alex - 4,12.01.1927,0638501099|0671234567
Alex - 5,01.09.1939,0638501099|0671234567
Alex - 6,01.12.1952,0638501099|0671234567
Alex - 7,22.12.1993,0638501099|0671234567
Alex - 8,22.09.1976,0638501099|0671234567
Alex - 9,11.05.1951,0638501099|0671234567
Alex - 10,21.06.1977,0638501099|0671234567
Alex - 11,01.05.1985,0638501099|0671234567
Alex - 12,06.03.1956,0638501099|0671234567
Alex - 13,10.12.1985,0638501099|0671234567
Alex - 14,24.04.1914,0638501099|0671234567
Alex - 15,20.02.1949,0638501099|0671234567
Alex - 16,11.05.1961,0638501099|0671234567
Alex - 17,05.10.1987,0638501099|0671234567
Alex - 18,16.01.1937,0638501099|0671234567
Alex - 19,28.01.1924,0638501099|0671234567
Bob - 0,07.07.1947,0638501099|0671234567
Bob - 1,28.09.1929,0638501099|0671234567
Bob - 2,02.07.1999,0638501099|0671234567
Bob - 3,12.01.1918,0638501099|0671234567
Bob - 4,17.08.1964,0638501099|0671234567
Bob - 5,03.10.1949,0638501099|0671234567
Bob - 6,02.03.1915,0638501099|0671234567
Bob - 7,08.08.1973,0638501099|0671234567
Bob - 8,28.09.1955,0638501099|0671234567
Bob - 9,10.07.1967,0638501099|0671234567
Bob - 10,15.03.1983,0638501099|0671234567
Bob - 11,22.06.1971,0638501099|0671234567
Bob - 12,19.02.1940,0638501099|0671234567
Bob - 13,19.05.1951,0638501099|0671234567
Bob - 14,24.11.1969,0638501099|0671234567
Bob - 15,01.12.1951,0638501099|0671234567
Bob - 16,12.06.1978,0638501099|0671234567
Bob - 17,21.06.1913,0638501099|0671234567
Bob - 18,19.04.1940,0638501099|0671234567
Bob - 19,17.01.1946,0638501099|0671234567
John - 0,08.10.1922,0638501099|0671234567
John - 1,07.07.1996,0638501099|0671234567
John - 2,03.10.1965,0638501099|0671234567
John - 3,15.03.1956,0638501099|0671234567
John - 4,25.09.1911,0638501099|0671234567
John - 5,16.05.1925,0638501099|0671234567
John - 6,20.11.1955,0638501099|0671234567
John - 7,27.01.1957,0638501099|0671234567
John - 8,18.05.1924,0638501099|0671234567
John - 9,28.07.1958,0638501099|0671234567
John - 10,04.07.1982,0638501099|0671234567
John - 11,23.10.1970,0638501099|0671234567
John - 12,28.09.1928,0638501099|0671234567
John - 13,11.12.1970,0638501099|0671234567
John - 14,14.08.1943,0638501099|0671234567
John - 15,13.04.1911,0638501099|0671234567
John - 16,14.02.1969,0638501099|0671234567
John - 17,18.05.1994,0638501099|0671234567
John - 18,12.07.1979,0638501099|0671234567
John - 19,23.10.1994,0638501099|0671234567
BREZENK,18.11.1994,
